State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,143.5,145.8,147.3,139.4,119.8,132.5,129.5,122.6,120.5,122.6
Alaska,47.5,45.4,43.7,39.1,37.3,37.1,37.1,36.2,34.0,33.9
Arizona,97.3,100.5,102.4,102.6,93.9,99.5,97.7,95.5,99.3,97.3
Arkansas,60.2,62.1,63.4,64.2,61.5,66.1,67.5,66.3,68.5,68.9
California,389.6,397.8,402.6,384.0,370.4,356.6,342.7,348.7,349.7,345.4
Colorado,95.8,96.6,99.3,97.4,93.3,95.9,92.5,91.2,92.1,92.8
Connecticut,43.9,40.9,40.1,37.7,36.0,36.4,35.0,34.3,34.6,35.0
Delaware,17.4,16.2,17.1,16.2,11.9,13.1,13.9,14.6,14.0,13.8
District of Columbia,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.6,2.8,3.0
Florida,260.0,259.1,256.7,238.5,224.7,245.5,232.4,227.0,227.0,233.0
Georgia,185.6,183.0,185.6,172.6,163.0,175.2,160.0,141.6,142.9,148.1
Hawaii,23.0,23.2,24.0,19.3,18.8,20.4,20.6,20.3,20.1,19.6
Idaho,15.8,15.8,16.3,15.5,15.2,16.3,16.0,15.8,17.2,16.8
Illinois,244.4,236.5,244.0,242.3,227.2,233.3,232.1,219.0,233.6,236.7
Indiana,238.6,236.7,236.0,231.7,209.1,218.4,209.8,195.4,200.1,205.8
Iowa,80.1,81.3,87.0,90.3,85.4,90.3,87.3,81.4,82.4,83.4
Kansas,73.1,72.9,79.0,75.0,73.2,72.6,70.7,66.1,69.8,70.3
Kentucky,156.3,158.7,158.5,155.8,146.0,152.9,151.2,140.6,139.7,140.4
Louisiana,201.9,210.1,210.6,204.1,193.5,203.5,207.9,197.1,189.0,186.3
Maine,23.1,21.2,20.9,19.0,18.3,17.8,17.3,15.6,16.4,16.4
Maryland,85.0,78.2,78.5,74.6,71.4,71.4,66.9,62.4,61.6,64.2
Massachusetts,84.4,76.6,79.9,76.7,70.4,72.8,68.8,62.5,66.5,64.9
Michigan,190.1,179.3,182.0,175.5,164.8,167.5,162.5,155.4,164.0,164.0
Minnesota,101.8,99.1,100.6,100.0,92.2,91.9,91.4,86.4,90.8,95.9
Mississippi,64.0,66.2,68.3,64.7,60.7,63.7,58.6,60.1,57.1,59.8
Missouri,144.5,143.1,141.6,138.4,132.1,136.9,136.8,129.1,133.9,133.5
Montana,35.9,36.0,38.0,37.2,33.1,35.0,32.1,30.8,32.1,32.6
Nebraska,43.8,44.3,44.6,46.6,47.3,50.0,52.4,50.6,53.5,52.2
Nevada,50.2,41.7,41.8,41.0,39.5,41.4,37.9,37.9,39.7,40.6
New Hampshire,21.3,19.4,19.2,18.7,17.1,16.8,16.4,14.7,14.4,15.2
New Jersey,130.6,123.1,130.8,128.3,111.5,105.6,105.0,99.0,100.4,104.9
New Mexico,59.5,60.4,59.0,56.8,57.7,53.9,56.3,54.2,53.8,50.6
New York,211.5,193.8,199.9,190.1,174.1,185.0,175.3,167.9,169.1,176.2
North Carolina,154.2,148.6,154.4,149.0,133.0,147.2,132.6,124.5,126.2,129.3
North Dakota,53.0,51.3,53.0,53.4,52.0,52.8,54.3,56.7,57.2,59.3
Ohio,271.9,265.3,271.3,264.8,239.7,247.2,235.1,214.9,228.0,229.7
Oklahoma,106.4,109.2,109.4,112.0,106.2,105.8,106.9,104.7,103.0,104.5
Oregon,41.1,40.3,43.7,42.6,40.8,40.6,37.0,36.7,39.0,37.8
Pennsylvania,281.6,275.6,278.6,269.9,245.3,256.1,249.7,239.8,249.5,249.4
Rhode Island,11.2,10.5,11.1,10.6,11.2,11.0,11.0,10.5,10.1,10.5
South Carolina,88.6,89.2,89.4,87.0,82.1,85.9,81.2,74.5,70.2,74.7
South Dakota,13.3,13.4,13.9,14.9,14.7,15.1,14.6,14.9,15.4,15.4
Tennessee,128.3,129.9,129.1,122.5,101.9,109.3,105.5,99.0,97.3,102.5
Texas,644.9,648.3,646.1,623.6,590.4,615.4,634.9,627.0,657.7,661.9
Utah,67.5,68.8,70.7,69.8,65.1,64.0,64.5,61.6,66.5,65.3
Vermont,6.8,6.7,6.5,5.9,6.2,5.9,5.8,5.5,5.7,5.9
Virginia,129.4,123.0,128.2,116.8,105.9,111.9,102.5,98.6,105.8,107.4
Washington,79.2,77.0,82.1,79.2,76.9,73.4,68.9,67.9,73.8,72.5
West Virginia,114.7,114.8,117.0,112.7,90.1,100.6,97.9,92.1,94.3,99.9
Wisconsin,111.0,103.1,104.8,105.3,96.4,99.0,98.2,90.9,101.3,101.2
Wyoming,63.7,64.5,66.8,67.2,64.1,65.6,64.5,66.7,68.9,65.9
